title,price,item_url,image_url,category
"500,000+ High Resolution iOS Icons Pack Mega Bundle | iPhone IOS 14 App Aesthetic | Free Custom Icons | IOS14 Phone Home Screen Widget",10.55,https://www.etsy.com/ca/listing/965933491/500000-high-resolution-ios-icons-pack?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-1&plkey=3a119139ad39b089749044cf1d21ea58c8a08c7b%3A965933491&pro=1,https://i.etsystatic.com/25254906/d/il/b2c970/2913905788/il_340x270.2913905788_psi8.jpg?version=0,phone
Pretty Floral iPhone 12 11 Pro Max case iPhone 12 mini case iPhone XR case iPhone XS Max Case iPhone 7 Plus iPhone 8 Plus iPhone SE Case,35.17,https://www.etsy.com/ca/listing/877149324/pretty-floral-iphone-12-11-pro-max-case?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-2&plkey=aea5260ebd8c785acd2b48a7366b56a6102551f5%3A877149324&pro=1,https://i.etsystatic.com/25509531/c/695/552/53/92/il/b53ef0/2964338594/il_340x270.2964338594_tpv2.jpg,phone
"Triple Dock Charger, Charging Station, iPhone AirPods Apple Watch Charger, Wood Charging Dock, Personalized Gift for Him, Desk Accessories",11.23,https://www.etsy.com/ca/listing/674623756/triple-dock-charger-charging-station?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-3&plkey=589a48e56d82d4c7cdb2595bb30f66da943e7f13%3A674623756,https://i.etsystatic.com/13285848/c/796/632/133/0/il/dd6581/1856059134/il_340x270.1856059134_gh65.jpg,phone
"Neutral Palette App Icons, iOS 14 Icons Aesthetic, Boho iOS Icons, Cream Icon Pack, iPhone Icons Minimalist, Beige Aesthetic Home Screen",13.22,https://www.etsy.com/ca/listing/926436190/neutral-palette-app-icons-ios-14-icons?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-4&plkey=f20cd4051dcc7e35828eeb34028a9b1b705aea80%3A926436190&bes=1,https://i.etsystatic.com/23113161/c/2000/1589/0/0/il/6392fc/2836043613/il_340x270.2836043613_nfku.jpg,phone
WandaVision Case Collection | Marvel studios | Wanda Maximoff | Scarlett Witch | Vision | Phone 11 | IPhone Xr  | For her| For him | Gift |,102.97,https://www.etsy.com/ca/listing/975490459/wandavision-case-collection-marvel?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-1&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/26205777/d/il/29f932/3045838058/il_340x270.3045838058_aj9o.jpg?version=0,phone
Custom Beaded Phone Charm,6.18,https://www.etsy.com/ca/listing/1021032627/custom-beaded-phone-charm?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-2&organic_search_click=1&frs=1,https://i.etsystatic.com/29863611/c/1951/1551/52/505/il/d20d79/3136452837/il_340x270.3136452837_agcq.jpg,phone
Beaded Phone Charm Strap - PEARLY GIRLS,15.99,https://www.etsy.com/ca/listing/960113817/beaded-phone-charm-strap-pearly-girls?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-3&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/27719987/d/il/d502bc/2931994584/il_340x270.2931994584_pw41.jpg?version=0,phone
Best Friends Dino Phone Case | Samsung & iPhone Cases,20.00,https://www.etsy.com/ca/listing/1032623160/best-friends-dino-phone-case-samsung?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-4&organic_search_click=1&frs=1,https://i.etsystatic.com/30112740/d/il/dfaca5/3186004638/il_340x270.3186004638_ajqw.jpg?version=0,phone
Beaded Phone Charm Strap - Chunky Pearl,24.00,https://www.etsy.com/ca/listing/990253571/beaded-phone-charm-strap-chunky-pearl?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-5&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/27719987/d/il/c2b8d1/3102244621/il_340x270.3102244621_arm9.jpg?version=0,phone
Custom Pet Portrait Phone Case | Gift for dog lover | Dog gift ideas | Custom Pet Portrait | Fiance Gift | Pet Illustration | Dog loss gift,28.00,https://www.etsy.com/ca/listing/795096549/custom-pet-portrait-phone-case-gift-for?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-6&organic_search_click=1&pro=1&frs=1,https://i.etsystatic.com/12750423/c/1639/1302/0/171/il/b60597/2351788367/il_340x270.2351788367_k37k.jpg,phone
